Year,Month_Name,Dogecoin_Change_%,FedRate_Change_%
2020,April,,
2020,August,97.59,100.0
2020,December,-9.6,-10.0
2020,February,-27.38,1655.56
2020,January,-16.06,-1.9
2020,July,15.79,-94.19
2020,June,12.45,-11.11
2020,March,-14.05,712.5
2020,May,9.63,-92.31
2020,November,3.53,80.0
2020,October,1.32,0.0
2020,September,24.46,0.0
2021,April,1803.75,-22.22
2021,August,229.81,28.57
2021,December,2.47,-11.11
2021,February,-83.35,0.0
2021,January,-83.7,12.5
2021,July,4201.65,11.11
2021,June,51.33,-20.0
2021,March,-86.33,-12.5
2021,May,676.67,-14.29
2021,November,-30.86,33.33
2021,October,-17.93,0.0
2021,September,32.01,0.0
2022,April,-52.0,312.5
2022,August,-51.37,606.06
2022,December,47.81,75.97
2022,February,40.41,-98.05
2022,January,21.32,0.0
2022,July,-61.76,2000.0
2022,June,22.49,-27.98
2022,March,65.24,-83.47
2022,May,-0.87,285.0
2022,November,7.38,390.91
2022,October,-57.48,-18.52
2022,September,2.88,-16.88
2023,April,34.76,88.67
2023,August,-7.15,10.35
2023,December,7.45,0.0
2023,February,12.3,-14.26
2023,January,-25.43,-5.25
2023,July,-2.49,18.24
2023,June,4.4,-0.78
2023,March,14.65,-8.46
2023,May,-3.84,8.82
2023,November,-12.66,5.34
2023,October,-8.2,0.0
2023,September,1.04,0.0
2024,April,221.96,0.0
2024,August,-42.0,0.0
2024,December,269.04,-15.95
2024,February,-81.97,18.97
2024,January,16.01,0.0
2024,July,34.14,0.0
2024,June,29.78,0.0
2024,March,-12.89,0.0
2024,May,-6.75,0.0
2024,November,22.32,-12.95
2024,October,-32.76,4.09
2024,September,-10.92,6.21
2025,February,223.38,-15.59
2025,January,5.17,0.0
2025,March,-36.31,0.0
